Meter,WELL Name,Gas Rate Sm3/d,Oil Flow Sm3/d,Water Flow Rate m3/d,GOR,GWR,WLR,Sep. Gas Temp deg C,Sep. Static Pressure psig,DP[Bar],Temperature[C],Velocity[m/s],Quality,GVF[%],GasDen[kg/m3],GasVisc[cP],LiqDen[kg/m3],LiqVisc[cP],
C1-052,LCA-3005,108763.3003,37.8084811,23.69085352,2889.748886,4622.664868,0.384988153,55.09080631,1310.11557,0.021034785,55.09080631,5.371677373,0.585243814,93.39943793,80.96188263,1.45E-05,710.4403775,0.000489384,
RAW_FSF,LCA-3005,95753.04025,46.079,19.58775,2171.217925,5165.021391,0.297699877,55.95275,1308.921,,,,,,,,,,
C1-052,LCA-3006,154103.1883,33.18567599,20.19286529,4851.106284,8004.548624,0.377874117,61.30980868,1325.037988,0.037770967,61.30980868,7.600190725,0.781682881,95.99278613,79.43281058,1.47E-05,705.9624256,0.000439262,
RAW_FSF,LCA-3006,135774.2176,56.558,19.4912,2460.062063,7071.037075,0.257087356,60.862,1323.1756,,,,,,,,,,
C1-052,LCA-3007,186865.1217,32.23038584,21.75277767,5917.579624,8799.559519,0.402534107,61.25096016,1325.472018,0.054371964,61.25096016,9.168972747,0.814601725,96.68024416,79.48529602,1.47E-05,714.7252899,0.000439676,
RAW_FSF,LCA-3007,159159.7358,45.78958333,24.48666667,3523.893169,6601.757624,0.34825107,60.82833333,1324.4975,,,,,,,,,,
C1-052,LCA-3008,114067.0926,47.54900373,26.12168868,2416.587419,4398.12158,0.354591873,56.98074188,1323.642985,0.024067428,56.98074188,5.652350164,0.629000822,92.35432897,81.10912731,1.46E-05,698.3375279,0.000473412,
RAW_FSF,LCA-3008,95683.09038,62.13576923,23.47307692,1559.337056,4151.515276,0.273703164,57.47961538,1321.585769,,,,,,,,,,
C1-052,LCA-3009,107692.2896,38.98278179,21.4759381,2847.872098,5184.632694,0.354905564,59.57379543,1314.591085,0.020872834,59.57379543,5.406857387,0.583530476,93.49731707,79.41763963,1.46E-05,698.9994178,0.000452479,
RAW_FSF,LCA-3009,93297.68667,47.60291667,18.85083333,2012.782476,5090.080199,0.284301641,59.77416667,1313.632083,,,,,,,,,,
C1-052,LCA-3010,140763.8207,48.72445682,24.75254327,2902.066054,5711.114476,0.336901862,61.18773155,1312.445052,0.03506278,61.18773155,7.106762038,0.788564867,93.96498788,78.63207273,1.46E-05,692.793138,0.000440144,
RAW_FSF,LCA-3010,121913.7404,63.51217391,22.50956522,1936.123132,5464.340537,0.261669065,60.65347826,1312.17087,,,,,,,,,,
C1-052,LCA-3011,150108.4661,14.61734598,8.352301239,10273.39517,17976.17474,0.363650543,57.74324602,1312.638328,0.03098762,57.74324602,7.210119165,0.758991364,98.20174808,80.02882998,1.46E-05,702.4485631,0.000467088,
RAW_FSF,LCA-3011,132976.8544,29.576,11.6756,4498.38278,11396.93956,0.283222314,57.708,1306.418,,,,,,,,,,
C1-052,LCA-3012,157152.8342,14.67497954,9.070873573,10714.52519,17339.75418,0.381962856,60.2239146,1313.396643,0.034427434,60.2239146,7.63934098,0.774626061,98.25738465,79.07664895,1.46E-05,708.5696952,0.000447451,
RAW_FSF,LCA-3012,140174.2287,29.71347826,12.71304348,4718.79844,11035.0822,0.299626145,59.58130435,1314.349565,,,,,,,,,,
C1-052,LCA-3013,187017.4597,14.69150822,8.63627938,12732.543,21674.31067,0.370169467,58.78108989,1316.744449,0.047627682,58.78108989,8.976522171,0.797039162,98.53846545,79.8855888,1.46E-05,704.2869665,0.000458696,
RAW_FSF,LCA-3013,167103.758,30.5024,12.2436,5478.987823,13645.95678,0.286445501,58.6784,1315.8024,,,,,,,,,,
C1-052,LCA-3083,123974.6587,41.38739587,99.78930499,3018.518719,1250.357576,0.706192215,61.42397209,1372.124835,0.039282982,61.42397209,6.522549461,0.767331449,88.48663467,82.56178359,1.48E-05,833.6428976,0.000438375,
RAW_FSF,LCA-3083,106672.4952,38.9888,76.7492,2768.99357,1397.740692,0.66109241,61.3416,1370.69,,,,,,,,,,
C1-052,LCA-3084,227925.9046,29.99298021,170.851433,7603.862362,1334.935659,0.850584513,67.61886897,1369.596724,0.130934097,67.61886897,12.18319264,0.822965332,91.8159052,79.90660589,1.49E-05,900.6749521,0.000395607,
RAW_FSF,LCA-3084,182809.8278,38.5426087,130.906087,4793.171908,1412.526644,0.765996919,67.29217391,1369.386087,,,,,,,,,,
C1-052,LCA-3085,124485.6405,38.67036893,87.60132604,3226.322965,1674.094373,0.678962087,62.15671371,1354.355154,0.03776198,62.15671371,6.56421535,0.770760217,89.85247414,81.06396514,1.48E-05,823.514954,0.000433311,
RAW_FSF,LCA-3085,105545.9772,41.59310345,69.85689655,2549.226161,1514.483292,0.626890896,62.81965517,1357.073793,,,,,,,,,,
Reference,LCA-3005,100000,11.14578689,8.186655751,8972,12215,0.42346722,,,,,,,,,,,,30
Reference,LCA-3006,100000,20.36245164,6.701065469,4911,14923,0.247605123,,,,,,,,,,,,
Reference,LCA-3007,100000,15.74307305,11.64686699,6352,8586,0.42522426,,,,,,,,,,,,
Reference,LCA-3008,100000,32.14400514,7.857311228,3111,12727,0.196426316,,,,,,,,,,,,
Reference,LCA-3009,100000,24.24242424,7.196833393,4125,13895,0.22891232,,,,,,,,,,,,
Reference,LCA-3010,100000,25.87991718,5.294086505,3864,18889,0.16982376,,,,,,,,,,,,
Reference,LCA-3011,100000,12.300123,6.951685784,8130,14385,0.361092605,,,,,,,,,,,,
Reference,LCA-3012,100000,13.84657989,8.717635777,7222,11471,0.386347831,,,,,,,,,,,,
Reference,LCA-3013,100000,11.01321586,7.929585283,9080,12611,0.418606795,,,,,,,,,,,,
Reference,LCA-3083,100000,51.84033178,20.12072435,1929,4970,0.27960574,,,,,,,,,,,,
Reference,LCA-3084,100000,43.66812227,21.33105802,2290,4688,0.328174262,,,,,,,,,,,,
Reference,LCA-3085,100000,49.72650423,18.28487841,2011,5469,0.268850267,,,,,,,,,,,,
